Galaxy,Right Ascension,Declination,Distance (light-years)
Sculptor dIG (ESO 349–31),00h 08m 13.36s,−34° 34′ 42.0″,10.44 ± 0.33 Mly (3.2 ± 0.1 Mpc)
UGC 4483,N/A,N/A,N/A
"dw0910p7326 (""Blobby"")",N/A,N/A,N/A
UGCA 92,N/A,N/A,N/A
IC 342,03h 46m 48.5s,+68° 05′ 46″,10.7 ± 0.9 Mly (3.3 ± 0.3 Mpc)
UGCA 15 (DDO 6),N/A,N/A,N/A
KKs 58,N/A,N/A,N/A
KKH 37 (Mai 16),N/A,N/A,N/A
UGCA 105,N/A,N/A,N/A
"Holmberg II (DDO 50, UGC 4305)",08h 19m 04.98s ,+70° 43′ 12.1″ ,11.06 Mly
NGC 5102,13h 21m 57.6s,−36° 37′ 49″,12.1 ± 0.7 Mly (3.70 ± 0.23 Mpc)
NGC 5237,N/A,N/A,N/A
ESO 325-11,N/A,N/A,N/A
ESO 540-030 (KDG 2),00h 49m 21.1s,−18° 04′ 34″,11.35 ± 0.26 Mly (3.48 ± 0.08 Mpc)
NGC 247,00h 47m 08.5s,−20° 45′ 37″,11.1 ± 1.2 Mly
"F6D1 (FM 1, PGC 3097828)",N/A,N/A,N/A
ESO 540-032,N/A,N/A,N/A
ESO 383-087 (ISG 39),N/A,N/A,N/A
NGC 5206,N/A,N/A,N/A
KK 179 (ESO 269-37),N/A,N/A,N/A
Sculptor Galaxy (NGC 253),00h 47m 33s,−25° 17′ 18″,11.4 ± 0.7 Mly   (3.5 ± 0.2 Mpc)
DDO 71 (UGC 5428),N/A,N/A,N/A
Camelopardalis B,N/A,N/A,N/A
Messier 82,09h 55m 52.2s,+69° 40′ 47″,11.4–12.4 Mly (3.5–3.8 Mpc)
NGC 5253,13h 39m 55.9631s,−31° 38′ 24.388″,10.9 ± 0.6 Mly (3.33 ± 0.17 Mpc)
M81 Dwarf A (KDG 52),N/A,N/A,N/A
KK 77 (F12D1),N/A,N/A,N/A
NGC 2976,09h 47m 15.458s,+67° 54′ 58.97″,11.6 ± 1.2 Mly (3.56 ± 0.38 Mpc)
Camelopardalis A,N/A,N/A,N/A
KK 211 (AM 1339–445),N/A,N/A,N/A
PGC 51659 (UKS 1424–460),N/A,N/A,N/A
KDG 61,N/A,N/A,N/A
NGC 4945,13h 05m 27.5s,−49° 28′ 06″,11.7 Mly (3.6 Mpc)
NGC 6789,19h 16m 41s,+63° 58′ 23″,12 Mly (3.6 Mpc)
Messier 81,09h 55m 33.2s,+69° 3′ 55″,"The HST's view of M81, with its open star clusters, globular star clusters, and regions of fluorescent gas."
"Holmberg IX (UGC 5336, DDO 66)",09h 57m 32.1s,+69° 02′ 46″,12 Mly(3.6 Mpc)
UGCA 292 (CVn I dwA),N/A,N/A,N/A
